qid,sentid,question,sentence text,label
1542,0,Is thyroid hormone therapy indicated in patients with heart failure?,Patients with chronic heart failure and subclinical hypothyroidism significantly improved their physical performance when normal TSH levels were reached.,1
1947,25,What is the purpose of the Orpington Prognostic Scale?,To provide recovery rates after stroke for specific functions using the Orpington Prognostic Scale (OPS).,0
1840,50,What is the function of Oseltamivir when administered during flu?,"According to one trial, oseltamivir was moderately effective as a prophylactic for close contacts of 'flu cases (6.6% in absolute values).",0
4144,3,Which particular intersex phenotype is related to steroid reductase?,"It is also imperative to establish whether defects in steroid 5 alpha-reductase 2, perhaps in the heterozygous state, are responsible for a portion of cases of sporadic hypospadias, to determine whether 5 alpha-reductase plays a role in progesterone action in women, and to elucidate the relation between androgen action and gender role behavior.",0
2668,2,Is the protein pelota a ribosomal rescue factor?,"In eukaryotes, the protein complex of Pelota (yeast Dom34) and Hbs1 translational GTPase recognizes the stalled ribosome containing the defective mRNA.",1
1214,26,"Which gene fusion is the result of the ""philadelphia translocation"" or the ""philadelphia chromosome"" mutation?","Chronic myeloid leukemia (CML) is characterized by formation of the BCR-ABL fusion gene, usually as a consequence of the Philadelphia (Ph) translocation between chromosomes 9 and 22",0
3843,13,Which chromosome contains the TLR7 locus in the human genome?,"TLR7 is encoded by an X chromosome locus, and we examined here whether the TLR7 gene evades silencing by X chromosome inactivation in immune cells from women and Klinefelter syndrome males.",0
12,10,Which are the different isoforms of the mammalian Notch receptor?,"However, Notch-3 expression appeared to be increased in diseased tissue.",0
3489,8,Can radiation induced meningiomas be treated with radiosurgery?,Stereotactic radiosurgery for radiation-induced meningiomas.,0
1290,17,which are the risk factors for sudden cardiac death in patients with hypertrophic cardiomyopathy?,The following risk factors were analyzed: 1) previous cardiac arrest or sustained ventricular tachycardia; 2) family history of sudden cardiac death; 3) high-risk genetic mutations; 4) syncope; 5) non-sustained ventricular tachycardia; 6) hypotensive response to exercise; and 7) marked left ventricular hypertrophy.,1
1302,0,Does thyroid hormone signaling affect microRNAs expression in the heart?,"e show that the heart regulates systemic energy homeostasis via MED13, a subunit of the Mediator complex, which controls transcription by thyroid hormone and other nuclear hormone receptors.",1
2330,20,Is DNA methylation correlated with nucleosome occupancy?,"Transcription, histone modifications, and DNA methylation alter this ""ground state"" by having distinct effects on both nucleosome positioning and occupancy.",0
1162,23,List features of the DEND syndrome.,"Approximately 20% have associated neurologic features: the most severe form, which includes epilepsy and developmental delay, is called developmental delay, epilepsy, and neonatal diabetes (DEND) syndrome and the milder form, with less severe developmental delay and without epilepsy, is designated intermediate DEND syndrome.",0
3451,4,Which molecule is targeted by Asciminib?,"Discovery of Asciminib (ABL001), an Allosteric Inhibitor of the Tyrosine Kinase Activity of BCR-ABL1.",1
4227,57,What conditions are diagnosed using the scratch collapse test?,"PURPOSE: To clarify the sensitivity, specificity, and interrater reliability of the scratch collapse test for carpal tunnel syndrome (CTS) and cubital tunnel syndrome, using blinded observers in a general patient population.METHODS: Ninety-two subjects were recruited from all patients referred for electrodiagnostic studies for upper extremity symptoms that were thought to be related to an entrapme",0
1266,4,Which type of genes are modulated by SATB1?,"Consistent with previous reports in a non-superantigen in vivo anergy model, mRNA for CD18 and the transcription factor Satb1 (special AT-rich-binding protein 1) was increased in SEB-energized T cells.",1
1690,4,Is the JNK pathway activated during liver regeneration?,initial activity of the JNK pathway,0
3718,17,Are there negative enhancers?,We have previously identified a silencer (negative enhancer) in glutathione transferase P (GST-P) gene which is strongly and specifically induced during hepatocarcinogenesis of the rat.,0
126,54,"What are 'vildagliptin', 'sitagliptin', 'saxagliptin', 'alogliptin', 'linagliptin', and 'dutogliptin'?","A systematic review and meta-analysis of randomised controlled trials (RCTs) of DPP-4 inhibitors (vildagliptin, sitagliptin, saxagliptin, linagliptin and alogliptin) on HbA1c were conducted.",0
1086,6,"Carbapenemase-producing gram-negative bacteria is a major health concern because their resistance to antibiotics.
List the most frequent carbapenemases found in Enterobacteriaceae.","Producers of IMP-, VIM-, and KPC-type carbapenemases with high levels of resistance to cephalosporins and to carbapenems were detected at 1x10(1) CFU/ml.",0
3812,18,Can secondary glioblastoma be caused by brain irradiation?,Report of 3 cases.,0
3770,1,Describe the mechanism of action of pitolisant.,"Whilst all of the compounds tested displayed robust histamine H3 receptor inverse agonism and did not differentiate between the main H3 receptor splice variants, they displayed a wide range of affinities and kinetic properties, and included rapidly dissociating (pitolisant, S 38093-2, ABT-239) and slowly dissociating (GSK189254, JNJ-5207852, PF-3654746) agents.",0
124,6,Is DITPA a thyroid hormone analog utilized in experimental and clinical studies," Moreover, DITPA and T(4) were efficacious in preventing effects of hypothyroidism on cardiac function and BVD",1
1929,14,Can NADPH oxidase be inhibited by apocynin and diphenylene iodonium?,"In addition, inhibitors of NADPH oxidase (diphenylene iodonium or apocynin) also prevented microglia proliferation, suggesting that this may be the source of hydrogen peroxide.",0
4131,2,Can Panitumumab cause trichomegaly?,Elongation of the eyelashes induced by these agents has predominantly been observed in oncology patients with either colorectal or lung cancer.,1
2271,1,Is davunetide being considered for the treatment of progressive supranuclear palsy?,"Davunetide's efficacy and tolerability are being tested in a placebo-controlled study in PSP patients, making it the most advanced drug candidate in this indication.",1
1350,12,"Which are the bioinformatics tools for gene structure prediction?
",Source code for the updated versions of GeneSeqer and SplicePredictor (distributed with the GeneSeqer code) isavailable at http://bioinformatics.iastate.edu/bioinformatics2go/gs/download.html.,0
1718,5,How many and which are the different isoforms for the ryanodine receptor?,In excitable cells such as skeletal and cardiac myocytes excitation-contraction coupling is an important intermediate step between initiation of the action potential and induction of contraction.,0
141,18,What is Genomicus?,Genomicus (http://www.dyogen.ens.fr/genomicus/) is a database and an online tool that allows easy comparative genomic visualization in >150 eukaryote genomes.,0
1368,28,Which pharmacogenetic test is available for abacavir?,Results were also sensitive to the cost of HLA-B*5701 testing and the prevalence of HLA-B*5701.,1
543,13,Is the gene DUX4 epigenetically regulated in somatic cells?,"Recent studies provide compelling evidence that a retrotransposed gene in the D4Z4 repeat, DUX4, is expressed in the human germline and then epigenetically silenced in somatic tissues.",1
3242,21,What is the Triad of Alport Syndrome?,"Alport syndrome is a rare condition characterized by the clinical triad of nephritic syndrome, sensorineural deafness, and ophthalmological alterations.",1
2731,17,What biologic process in the body is associated with Mast cells?,"Several chronic inflammatory diseases are associated with increased mast cell numbers and upregulation of the TNF receptor family member CD30, but the role of elevated CD30 expression is poorly understood.",0
2425,10,Are there mammalian promoters with distal enhancer functions?,genome wide characterization of mammalian promoters with distal enhancer functions,0
1110,11,Describe Malgaigne fracture.,Twenty-six of the thirty-two cadavera that were examined radiographically and dissected had a double break in the pelvic ring (Malgaigne pattern).,0
4080,50,Which cytokine molecule activates SMADs?,Mutational studies coupled with knockdown experiments have shown that TGF-β1-induced Necl-2 repression requires activation of Smad proteins.,0
2147,14,What is MPE-seq?,These findings collectively indicate that MPE-seq provides a unique and straightforward means for the genome-wide analysis of chromatin structure with minimal DNA sequence bias.,0
4137,24,How is Burke-Fahn-Marsden Dystonia scale used?,Background: The Burke-Fahn-Marsden Dystonia Rating Scale is a universally applied instrument for the quantitative assessment of dystonia in both childre,0
364,8,Is alemtuzumab effective for remission induction in patients diagnosed with T-cell prolymphocytic leukemia?,"With the introduction of alemtuzumab, most patients who progressed despite treatment with pentostatin had a major response with a complete remission rate higher than that obtained with pentostatin when used as a first line.",0
1702,3,PBT2 has been tested for which disorder?,"The purpose of this mini-review is to highlight the emerging notion that metal chaperones, such as PBT2 (Prana Biotechnology), modulate a variety of critical pathways affecting key aspects of the AD cascade to provide a more ""holistic"" approach to the treatment of this disease.",0
1236,30,Is there any cross-talk between the Wnt and the Akt pathways?,Here we show that DEX inhibition of the differentiation-related cell cycle is associated with a decrease in beta-catenin levels and inhibition of LEF/TCF-mediated transcription.,0
2946,0,What is the cause of Sandhoff disease?,"Sandhoff disease (SD) is a genetic disorder caused by a mutation of the β-subunit gene β-hexosaminidase B (HexB) in humans, which results in the massive accumulation of the ganglioside GM2 and related glycosphingolipids in the nervous system.",1
1560,18,Which molecule is targeted by a monoclonal antibody Secukinumab?,"Th-17A antagonism has been investigated by a randomized controlled trial in PsA patients with secukinumab, a fully human, high-affinity, monoclonal antibody in a cohort of patients with active PsA.",0
1719,3,Which compound is a specific inhibitor for Nox1 and Nox4?,Basal NAD(P)H oxidase activity was blocked by GKT136901 (Nox1/4 inhibitor) and by Nox1 siRNA in WKY cells and by siNOX1 and siNOX2 in SHR.,0
2379,7,Are loop domains preserved upon cohesin loss?,cohesin loss eliminates all loop domains,1
2899,0,Briefly describe a deep learning system that is more accurate than human experts at detecting melanoma.,Computer-aided diagnosis systems powered by convolutional neural networks (CNNs) can improve diagnostic accuracy and save lives.,1
1857,15,What is the function of transthyretin in cerebrospinal fluid?,Thyroid hormones enter the choroid plexus via thyroid hormone transmembrane transporters and leave the choroid plexus to enter the cerebrospinal fluid via either thyroid hormone transmembrane transporters or via choroid plexus-derived transthyretin secreted into the cerebrospinal fluid.,0
565,1,Is the long non- coding RNA malat-1 up or downregulated in cancer?,Metastasis-Associated-in-Lung-Adenocarcinoma-Transcript-1 (MALAT-1) is an ncRNA that is highly expressed in several tumor types,1
991,14,What is the role of venous angioplasty in multiple sclerosis?,There are clinical trials ongoing or planned to treat chronic cerebrospinal venous insufficiency (CCSVI) through angioplasty.,0
2006,18,Which diseases are associated with Primary intestinal lymphangiectasia (PIL)?,"Primary intestinal lymphangiectasis (PIL), also known as Waldmanns disease, is a rare protein-losing enteropathy characterized by abnormal enlargement of the lymphatic ducts in the bowel wall",0
2366,21,Which virus can be diagnosed with the monospot test?,Sera negative for the markers of both viruses: Hepatitis A (HAV) and Hepatitis B (HBV) were subsequently tested for IGM Heterophil antibodies against Epstein-Barr virus (EBV) by the Monospot slide test to diagnose acute infectious mononucleosis and tested for anti-CMV (IgM) by ELISA technique for the diagnosis of acute Cytomegalovirus (CMV) infection.,1
3534,10,Is Huntington's disease caused by a dominate or recessive gene?,Huntington disease is an autosomal-dominant neurodegenerative disease of mid-life onset caused by expansion of a polymorphic trinucleotide (CAG) repeat.,0
2229,12,Does PCSK9 (Proprotein convertase subtilisin/kexin type 9) binds with HDL-receptor (HDL-R)?,"Proprotein convertase subtilisin/kexin type 9 (PCSK9) binds to LDL receptors, leading to their degradation",1
2996,18,Which methods have been developed for extracting sequence variants from the literature?,"Here, we report tmVar, a text-mining approach based on conditional random field (CRF) for extracting a wide range of sequence variants described at protein, DNA and RNA levels according to a standard nomenclature developed by the Human Genome Variation Society.",0
493,15,Which disease is included as an additional feature in the Goldberg-Shprintzen syndrome?,Marfanoid phenotype with craniosynostosis (Shprintzen-Goldberg syndrome) is a rare disorder previously described in only 5 patients.,0
3745,20,Variants in which genes cause nonsyndromic retinal degeneration?,An allelic hierarchy was observed in the discovery cohort and confirmed in the replication cohort.,0
524,4,Is the protein β1-integrin recycled?,CycD1 overexpression increased β1 integrin recycling,1
4113,16,Which drugs are included in the VAC regiment for Ewing's sarcoma?,"VAC (vincristine, actinomycin D, and cyclophosphamide) regimens with anthracyclines resulted in better survival.",1
765,12,List available methods for transmembrane protein topology prediction.,"The method achieves topology prediction accuracy of 89%, while signal peptides and re-entrant helices are predicted with 93% and 44% accuracy respectively.",0
1467,39,Are BRAF mutations common in melanoma?,BRAF represents one of the most frequently mutated protein kinase genes in human tumours.,0
2479,30,Which R packages have been developed for the discovery of mutational signatures in cancer?,"The results illustrate several important features of our methods, including the ability of our new visualization tool to clearly highlight the key features of each signature, the improved robustness of signature inferences from small sample sizes, and more detailed inference of signature characteristics such as strand biases and sequence context effects at the base two positions 5' to the mutated site.",0
1920,22,What is clinical presentation of the Gardner-Diamond syndrome?,Gardner-Diamond syndrome (GDS) is an uncommon disease clinically characterized by a wide spectrum of psycho-emotive symptoms associated with painful ecchymoses/purpuric lesions and positivity of auto-erythrocyte sensitization skin test.,0
203,15,What is the genetic basis of tuberous sclerosis?,Molecular genetic basis of renal carcinogenesis in the Eker rat model of tuberous sclerosis (Tsc2),0
2165,13,Which NGS alignment software implement the Burrows-Wheeler Transform?,"Therefore, in this paper, we introduce Burrows-Wheeler Aligner's Smith-Waterman Alignment on Parallel MapReduce (BWASW-PMR) cloud platform for long sequence alignment.",1
301,32,Which oncogenes are able to induce cellular senescence?,Expression of caveolin-1 induces premature cellular senescence in primary cultures of murine fibroblasts,0
1021,17,"In which process Src, Cortactin and MT1-MMP are playing an essential role?","Small interfering RNA (siRNA) inhibition established that organization of invadopodia structure requires cortactin, whereas protease inhibitor studies identified membrane type 1 matrix metalloproteinase (MT1-MMP) as the key invadopodial enzyme responsible for gelatin matrix degradation in the breast carcinoma cell line MDA-MB-231.",1
1162,22,List features of the DEND syndrome.,"Five patients with developmental delay, epilepsy and neonatal diabetes (DEND) syndrome had unique mutations not associated with other phenotypes.",0
1018,25,What is the Timothy syndrome?,The gain-of-function mutations were found at two mutually exclusive exons in patients with Timothy syndrome (TS).,0
3250,6,Where is the yeast transpozable element Ty3 preferentially inserted?,"Ty3 was shown to insert upstream of tRNA, 5S, and U6 genes, all of which are transcribed by RNA polymerase III",0
2525,2,Which package in Bioconductor has been developed with the aim to analyze differential DNA loops from sequencing data?,"To systematically assess changes in DNA looping architecture between samples, we introduce diffloop, an R/Bioconductor package that provides a suite of functions for the quality control, statistical testing, annotation, and visualization of DNA loops.",1
3073,15,Is the NLM medical text indexer (MTI) still useful and relevant?,"12 years on - Is the NLM medical text indexer still useful and relevant?Based on our findings, yes, MTI is still relevant and useful, and needs to be improved and expanded.",1
2050,1,Is Dupilumab used for treatment of atopic dermatitis?,"Background Dupilumab, a human monoclonal antibody against interleukin-4 receptor alpha, inhibits signaling of interleukin-4 and interleukin-13, type 2 cytokines that may be important drivers of atopic or allergic diseases such as atopic dermatitis.",0
1770,20,What is the mechanism of action of peginesatide?,"Peginesatide, a polyethylene glycol (PEG)ylated peptide-based erythropoiesis-stimulating agent, stimulates the erythropoietin receptor dimer that governs erythropoiesis.",0
3904,56,Is Ixodes a species of tick?,"A list of the 70 species of Australian ticks; diagnostic guides to and species accounts of Ixodes holocyclus (paralysis tick), Ixodes cornuatus (southern paralysis tick) and Rhipicephalus australis (Australian cattle tick); and consideration of the place of Australia in the evolution of ticks with comments on four controversial ideas.",0
777,12,Which pituitary adenoma is common cause of infertility is women?,"Of the other three patients, one showed evidence of bilateral tubal occlusion secondary to pelvic inflammatory disease, one has had a right ectopic pregnancy followed by two abortions, and the third patient was found to have a pituitary adenoma.",0
3307,21,Which drugs are included in the drug LONSURF?,TAS-102 ( Lonsurf ) is an oral fluoropyrimidine that is formed by the combination of 2 active drugs: trifluridine ( a nucleoside analog ) and tipiracil hydrochloride ( a thymidine phosphorylase inhibitor) .,0
2298,11,Which gene is the paralog of yeast UPC2?,Ecm22 and Upc2 positively regulate basal expression of PRM1 and PRM4.,0
1401,22,Which enzyme is deficient in Krabbe disease?,The inherited deficiency of galactosylceramide beta-galactosidase (E.C.,0
3742,17,Han Wistar and Sprague Dawley are breeds of what laboratory animal?,Similarities were found b,0
285,14,Is ospemifene effective for treatment of dyspareunia?,Clinical trials have confirmed that daily doses are well-tolerated and that it is effective in normalizing vaginal maturation index and pH as well as improving the symptoms associated with VVA including dyspareunia.,0
3755,14,What is the function of the zelda transcription factor in D. melanogaster?,Zelda overcomes the high intrinsic nucleosome barrier at enhancers during Drosophila zygotic genome activation.,0
2943,7,Describe Canvas SPW,Availability and implementation Canvas SPW is available for download from https://github.com/Illumina/canvas.,0
1443,5,What are the reported adverse effects of topical minoxidil?,The patients tolerated treatment with 1% topical minoxidil well without significant adverse effects.,0
397,8,"The secreted frizzled-related protein 3 (sFPR3) is altered in human cancers.
Are its level found to increase or to decrease?",All these cases were associated with either up-regulation of FzE3 or down-regulation of hsFRP,0
1299,29,"Which tumor suppressor is referred to as ""the guardian of the genome""?","The tumor suppressor protein, p53, is often referred to as the guardian of the genome.",0
440,17,Which are the main causes of fetal echogenic bowel?,"strongly associated with adverse pregnancy outcome due to utero-placental insufficiency, particularly in women with elevated maternal serum alpha-fetoprotein concentration due to severe feto-maternal bleeding",0
1074,0,Which ones are the ESKAPE organisms?,"The aim of this study was to test in the clinic whether antimicrobial diversity affects resistance of Enterococcus faecium, Staphylococcus aureus, Klebsiella species, Acinetobacter baumannii, Pseudomonas aeruginosa, and Enterobacter species (ESKAPE) pathogens in ventilator-associated pneumonia (VAP).",0
150,3,Is PTEN involved in follicular thyroid carcinoma?,"Similarly, there is increasing evidence demonstrating that mutations leading to activation of the phosphatidylinositol 3- kinase (PI3K)/AKT effectors -PTEN and PI3KCa- are essential for the pathogenesis of follicular thyroid carcinoma (FTC)",0
1635,3,How can the expression of SerH3 immobilization antigen be regulated?,Expression of each allele is regulated by temperature-sensitive mRNA stability.,0
1916,29,What is Bexsero?,Modelled evaluation of multi-component meningococcal vaccine (Bexsero®) for the prevention of invasive meningococcal disease in infants and adolescents in the UK.,0
705,24,Is Bladder training an effective method to treat  urge incontinence ?,"RESULTS: After 3 months the mean frequency of urine loss per week diminished from 21 to 8, and after 12 months to 6 times.",0
3320,11,What is the link between dental x-ray and brain tumor risk?,"CONCLUSION

Our finding of a total lack of correlation between benign brain tumors and markers of oral health and, by implication, dental X-rays, suggests there may be no relationship between dental X-rays and meningioma or other benign brain tumors.",0
701,21,Which antibody is implicated in the Bickerstaff's brainstem encephalitis?,This is the case of a 79-year-old man with chronic lymphocytic leukemia who presented with Guillain-Barré syndrome with features overlapping with the Miller Fisher syndrome and Bickerstaff brainstem encephalitis and positive antiganglioside GQ1b antibody about 6 months after treatment with bendamustine and rituximab.,0
457,60,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"IL-5 antagonist therapies in current development include two monoclonal anti-IL-5 antibodies (mepolizumab, reslizumab), a monoclonal antibody directed at the IL-5 receptor (benralizumab), and anti-sense oligonucleotide therapy (TPI ASM8)",0
2476,30,Can canagliflozin cause euglycemic diabetic ketoacidosis?,Euglycemic Diabetic Ketoacidosis With Prolonged Glucosuria Associated With the Sodium-Glucose Cotransporter-2 Canagliflozin.,1
2278,2,List the two most important hematological features of the Evans syndrome,BACKGROUND: Autoimmune cytopenias are characterized by immune-mediated destruction of hematopoietic cell lines with immune thrombocytopenia (ITP) affecting platelets and Evans syndrome (ES) affecting platelets and red blood cells.,0
3132,32,Can you computationally predict Molecular Recognition Features (MoRFs) regions in Intrinsically Disordered Proteins (IDPs)?,These intrinsically disordered regions (IDRs) participate in binding events through regions called molecular recognition features (MoRFs).,0
609,17,What is transvection?,The same phenomenon appears to be responsible for pairing-dependent interallelic complementation at numerous other genes in Drosophila.,0
949,24,Do R-loops tend to form at sites of DNA replication?,"Immediately after infection, RNA-DNA hybrids (R-loops) occur on (at least some) replication origins, with the annealed RNA serving as a primer for leading-strand synthesis in one direction.",0
702,0,Which micro-RNAs have been associated in the pathogenesis of Rheumatoid Arthritis?,This study provides the first description of increased expression of miRNA miR-155 and miR-146a in RA,1
616,45,Is statin use associated with improved outcomes after aneurysmal subarachnoid hemorrhage?,The neuroprotective effects of acute treatment with pravastatin following aneurysmal SAH are associated with enhancement of autoregulation,0
3929,21,What genes is implicated in myotonic goats and other  nondystrophic myotonias?,Myotonic dystrophy Type 1 is caused by CTG repeat expansion in the 3' untranslated region in the Dystrophia Myotonica Protein Kinase (DMPK) gene.,0
500,9,Is the transcriptional regulator BACH1 an activator or a repressor?,"Bach1, the negative regulator of Nrf2",0
3320,1,What is the link between dental x-ray and brain tumor risk?,Dental x-rays and risk of meningioma.,0
1314,7,List bacteria that may be useful in uranium bioremediation.,Geobacteraceae,0
748,25,Which are the most common methods for gene prioritization analysis?,"vocabularies, representations and ranking algorithms for gene prioritization by text mining",0
1149,3,Which is the subcellular localization of the protein angiogenin?,"Under growth conditions, ANG is located in the nucleus",1
2187,20,Is edema a symptom of nephrotic syndrome?,"The patient was admitted with edema of both legs, and the nephrotic syndrome was discovered, leading to the diagnosis of AA amyloidosis on kidney biopsy.",0
224,0,How many genes does the human hoxD cluster contain?,Both children are heterozygous for a deletion that eliminates at least eight (HOXD3-HOXD13) of the nine genes in the HOXD cluster,1
701,3,Which antibody is implicated in the Bickerstaff's brainstem encephalitis?,"Serologic analysis of antibodies against ganglioside complexes (anti-GDIa, anti-GDIb, anti-GM1, anti-GM2, anti-GM3, anti-GQIb and anti-GTIb antibodies) showed negative results.",0
251,0,Proteomic analyses have revealed proteins associated with the triple-negative breast cancers. List some proposed proteins.,"Some of these proteins are of outstanding interest in the biology and clinical management of this disease, such as CD44 and PARP1.",1
1451,3,What is the main biological function of the CRISPR-CAS9 genome editing system?,"We have shown that homologous gene targeting is possible at 1-4% efficiency using this system, allowing for the construction of defined insertions and deletions.",0
1855,7,Which server is used for simulation of macromolecular diffusional association?,"webSDA allows users to run Brownian dynamics simulations with SDA to study bimolecular association and encounter complex formation, to compute association rate constants, and to investigate macromolecular crowding using atomically detailed macromolecular structures.",1
2547,0,What is the most common feature of the Doege–Potter syndrome?,We describe a patient with Doege-Potter syndrome (solitary fibrous tumor of the pleura presenting with hypoglycemia) and illustrate several important lessons learned from the case.,1
1154,13,What is known about the role of mHealth in the prevention of disease?,Participants were randomized to usual prenatal care plus text messaging or usual care alone.,0
1258,3,List fluorescent reporter proteins.,Flavin-based fluorescent proteins (FbFPs),0
2056,35,Is PUVA therapy indicated for eczema treatment?,OBJECTIVE: Our purpose was to assess the effectiveness of local bath-PUVA therapy in 28 patients with chronic palmar or plantar eczema or both who were resistant to conventional topical treatment.,0
675,1,Which multiple kinase inhibitors are used in cancer therapy?,"These inhibitors include ZD6474, SU11248, AEE 788, sorafenib, vatalanib, and AG-013736.",1
3767,9,Which transcription factor controls Drosophila's Hes genes?,These results suggest that Hes genes are functionally classified into two groups: those that are regulated by Notch and those that are not.,0
673,2,Does the protein mTOR regulate autophagy?,"Several pathways, including mTOR, have been shown to regulate autophagy.",0
543,8,Is the gene DUX4 epigenetically regulated in somatic cells?,"Induced pluripotent (iPS) cells also express full-length DUX4 and differentiation of control iPS cells to embryoid bodies suppresses expression of full-length DUX4, whereas expression of full-length DUX4 persists in differentiated FSHD iPS cells.",0
440,7,Which are the main causes of fetal echogenic bowel?,"Analyses were repeated after excluding cases of aneuploidy, cytomegalovirus (CMV) infection,",0
2013,18,What is the role of Laser Interstitial Thermal Therapy in glioma treatment?,"MRI-guided laser interstitial thermal therapy is currently used as a minimally invasive treatment for brain metastases, radiation necrosis, glioma, and epilepsy.",0
671,37,What is known about the Digit Ratio (2D:4D) cancer?,Low numbers of CAG repeats and low 2D:4D are both associated with high sperm numbers and protection against breast cancer.,0
1908,17,Which syndromes are associated with heterochromia iridum?,"BACKGROUND: Heterochromia iridis, asymmetry of iris pigmentation, has been well described with congenital Horner syndrome.",0
3844,12,What is marked by DNaseI hypersensitive sites?, regions of open chromatin [DNaseI hypersensitivity (DHS)],0
3783,1,List human antibody isotypes.,Human immunoglobulin D (IgD) occurs most abundantly as a membrane-bound antibody on the surface of mature B cells (mIgD).,1
104,8,Which is the genetic defect causing Neurofibromatosis type 1?,"Mis-sense, non-sense, frame-shift or splice-site mutations were identified across the entire gene of which the majority (45/68) were novel in nature.",0
1348,33,What is the characteristic domain of histone methyltransferases?,"the evolutionarily conserved SET domain, which requires adjacent cysteine-rich regions to confer histone methyltransferase activity",0
1499,13,What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?,"We captured 162,073 exons of 16,954 genes and sequenced the targeted regions to a mean coverage of 56-fold.",0
2974,3,RV3-BB vaccine is used for prevention of which viral infection?,Molecular characterisation of rotavirus strains detected during a clinical trial of the human neonatal rotavirus vaccine (RV3-BB) in Indonesia.,0
1744,4,Which is the primary protein component of Lewy bodies?,"For alpha-synuclein, the major protein component of Lewy bodies associated with Parkinson's disease, we have used a combination of ssNMR and biochemical data to identify the key region for self-aggregation of the protein as residues 77-82 (VAQKTV).",0
1117,10,Which genes does thyroid hormone receptor alpha1 regulate in the heart?,"PE, in the absence of T3, resulted in 5.0 fold increase in TRalpha1 expression in nucleus and 2.0 fold decrease in TRalpha1 expression in cytosol, P<0.05.",0
2258,3,What is the FIRE (Functional Inference of Regulators of Expression) tool?,FIRE scores are also predictive of cis -eQTL SNVs across a variety of tissue types.,1
769,2,Which growth factors are known to be involved in the induction of EMT?,"Fibroblast growth factor receptor 1 is an oncoprotein that is involved in tumorigenesis, and PD173074 is known to be a selective inhibitor of FGFR1.",0
288,7,Can zinc finger nucleases be used to combat disease?,Zinc finger nucleases as tools to understand and treat human diseases.,1
3291,1,Is traditional Chinese medicine associated with a decreased risk of heart failure in breast cancer patients receiving doxorubicin treatment?, Using TCM significantly decreased the incidence of CHF in patients with breast cancer who received conventional chemotherapy with or without radiotherapy.,1
1608,6,"Elaborate on the potential efficacy of gemcitabine for the treatment of recurrent, platinum-resistant epithelial ovarian cancer.","Gemcitabine plus endostar significantly improved the prognosis in patients with platinum-resistant recurrent ovarian cancer, especially in those with malignant effusion",0
2913,5,Endolymphatic hydrops is associated with Meniere’s disease. Please provide a summary of endoymphatic hydrops including the symptoms and affected body part.,"Ménière's disease is associated with hydrops of the inner ear endolymphatic space, and histopathologically, the cochlea and vestibule are usually involved.",1
1640,9,Is Turcot syndrome associated with glioblastoma?," Biallelic mutations of MMR genes are associated with pediatric cancers, including glial tumors, in Turcot syndrome type 1 (TS1).",0
1929,41,Can NADPH oxidase be inhibited by apocynin and diphenylene iodonium?,"Our results showed that IL-1beta enhanced HTSMCs-monocyte adhesion through up-regulation of VCAM-1, which was inhibited by pretreatment with selective inhibitors of PKCalpha (Gö6976), c-Src (PP1), NADPH oxidase [diphenylene iodonium (DPI) and apocynin (APO)], intracellular calcium chelator (BAPTA/AM), PI-PLC (U73122), CaM (calmidazolium chloride), CaM kinase II (KN62), p300 (garcinol), NF-kappaB (Bay11-7082), HDAC (trichostatin A), and ROS scavenger [N-acetyl-L-cysteine (NAC)] or transfection w",0
2231,21,Is apremilast effective for psoriatic arthritis?,"No imbalance in major adverse cardiac events, serious or opportunistic infections, malignancies or laboratory abnormalities was observed.Apremilast was effective in the treatment of psoriatic arthritis, improving signs and symptoms and physical function.",0
3909,1,What does fingolimod do to the grey matter of the brain?,These results suggest a possible protective effect of fingolimod on focal and diffuse GM damage.,1
1289,28,List BRAF inhibitors that have been tested in clinical trials for treatment of melanoma patients,We conducted a systematic prospective dermatological review of all patients enrolled at a single institution in the phase I/II clinical trial of the mutant BRAF inhibitor dabrafenib (GSK2118436).,0
682,14,Is sumoylation implicated in myogenesis?,These novel results suggest that protein sumoylation plays a pivotal role in myoblast differentiation and is required to regulate the activity of key targets downstream of MyoD and myogenin.,1
3867,14,Which cancers can be treated with Selpercatinib?,This art,0
2247,1,Does TFIIS affect nucleosome positioning?,"The same nucleosomes transcribed in the opposite orientation form a weaker, more diffuse barrier that is largely relieved by higher salt, TFIIS, or FACT",1
2674,5,"What is ""enhancer hijacking""?",We demonstrate a novel approach for simultaneous detection of genomic rearrangements and enhancer activity in tumor biopsies.,0
4138,29,Is methotrexate used for the treatment of Rheumatoid Arthritis (RA)?,We enro,0
1329,20,Is p100 the precursor protein molecule of the NF-kappaB transcription factor subunit p50?,"NF-kappaB functions as a hetero- or homo-dimer which can be formed from five NF-kappaB subunits, NF-kappaB1 (p50 and its precursor p105), NF-kappaB2 (p52 and its precursor p100), RelA (p65), RelB and c-Rel",1
1362,9,Which protein is the main inhibitor of protein phosphatase 1 (PP1)?,"Thus, long-term cardiac specific overexpression of the protein phosphatase 1 inhibitor-1 and the associated increases in cardiac contractility appear to herald changes in a rather small number of proteins, which may reflect important compensatory adaptations in a hyperdynamic heart [corrected]",0
